code,xtp_prefix,rows,first_date,last_date,file,blocks
688192,17,1094,2021-12-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688192.csv,医药创新药
688180,17,1437,2020-07-15,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688180.csv,医药创新药
688278,17,1553,2020-01-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688278.csv,医药创新药
688506,17,833,2023-01-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688506.csv,医药创新药
688331,17,1021,2022-03-31,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688331.csv,医药创新药
600276,17,6178,2000-10-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600276.csv,医药创新药
301000,33,1226,2021-05-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301000.csv,人形机器人
688507,17,767,2023-04-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688507.csv,人形机器人
688017,17,1405,2020-08-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688017.csv,人形机器人
002139,33,4559,2007-06-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002139.csv,人形机器人
600143,17,5201,2004-06-23,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600143.csv,人形机器人
300115,33,3797,2010-09-02,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300115.csv,人形机器人
601318,17,4625,2007-03-01,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\601318.csv,券商银行
601211,17,2648,2015-06-26,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\601211.csv,券商银行
600030,17,5594,2003-01-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600030.csv,券商银行
600999,17,4008,2009-11-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600999.csv,券商银行
601688,17,3950,2010-02-26,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\601688.csv,券商银行
300059,33,3881,2010-03-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300059.csv,券商银行
002736,33,2769,2014-12-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002736.csv,券商银行
688798,17,1171,2021-08-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688798.csv,AI推荐
600353,17,5568,2002-11-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600353.csv,AI推荐
688800,17,1188,2021-07-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688800.csv,AI推荐
688049,17,1103,2021-11-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688049.csv,AI推荐
002594,33,3623,2011-06-30,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002594.csv,汽车
002851,33,2176,2017-03-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002851.csv,电源
300870,33,1409,2020-08-24,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300870.csv,电源
688052,17,1007,2022-04-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688052.csv,电源
688536,17,1369,2020-09-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688536.csv,电源
300661,33,2185,2017-06-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300661.csv,电源
300814,33,1173,2021-08-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300814.csv,电源
300593,33,2246,2017-01-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300593.csv,电源
